09-23-2026 15:33:31 RAM 7095/30697MB (lfb 413x4MB) SWAP 414/15348MB (cached 0MB) CPU [10%@2201,12%@2201,14%@2201,9%@2201,18%@2201,9%@2201,11%@2201,19%@2201,53%@2201,9%@2201,9%@2201,8%@2201] GR3D_FREQ 0% cpu@53.625C soc2@48.875C soc0@50.437C gpu@48.375C tj@53.625C soc1@50.343C VDD_GPU_SOC 5311mW/5311mW VDD_CPU_CV 3792mW/3792mW VIN_SYS_5V0 5024mW/5024mW
09-23-2026 15:33:32 RAM 7154/30697MB (lfb 413x4MB) SWAP 414/15348MB (cached 0MB) CPU [6%@2201,7%@2201,7%@2201,7%@2201,7%@2201,6%@2201,7%@2201,6%@2201,100%@2201,7%@2201,7%@2201,6%@2201] GR3D_FREQ 0% cpu@53.5C soc2@48.875C soc0@50.406C gpu@48.468C tj@53.5C soc1@50.468C VDD_GPU_SOC 5313mW/5312mW VDD_CPU_CV 3033mW/3413mW VIN_SYS_5V0 5024mW/5024mW
09-23-2026 15:33:33 RAM 7196/30697MB (lfb 413x4MB) SWAP 414/15348MB (cached 0MB) CPU [0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,1%@2201,0%@2201,1%@2201,100%@2201,1%@2201,0%@2201,0%@2201] GR3D_FREQ 0% cpu@53.562C soc2@48.906C soc0@50.468C gpu@48.468C tj@53.562C soc1@50.562C VDD_GPU_SOC 5313mW/5312mW VDD_CPU_CV 3033mW/3286mW VIN_SYS_5V0 5024mW/5024mW
09-23-2026 15:33:34 RAM 7227/30697MB (lfb 413x4MB) SWAP 414/15348MB (cached 0MB) CPU [0%@2201,1%@2201,0%@2201,0%@2201,0%@2201,0%@2201,1%@2201,0%@2201,100%@2201,1%@2201,0%@2201,0%@2201] GR3D_FREQ 0% cpu@53.687C soc2@48.843C soc0@50.343C gpu@48.625C tj@53.687C soc1@50.343C VDD_GPU_SOC 4933mW/5218mW VDD_CPU_CV 3033mW/3223mW VIN_SYS_5V0 4823mW/4974mW
09-23-2026 15:33:35 RAM 6935/30697MB (lfb 413x4MB) SWAP 414/15348MB (cached 0MB) CPU [70%@2201,7%@2201,7%@2201,7%@2201,14%@2201,7%@2201,6%@2201,8%@2201,28%@2201,8%@2201,7%@2201,6%@2201] GR3D_FREQ 0% cpu@54.812C soc2@49.062C soc0@50.406C gpu@48.656C tj@54.812C soc1@50.312C VDD_GPU_SOC 5311mW/5236mW VDD_CPU_CV 3033mW/3185mW VIN_SYS_5V0 5224mW/5024mW
09-23-2026 15:33:36 RAM 7153/30697MB (lfb 413x4MB) SWAP 414/15348MB (cached 0MB) CPU [8%@2201,7%@2201,7%@2201,7%@2201,100%@2201,6%@2201,7%@2201,6%@2201,7%@2201,7%@2201,6%@2201,8%@2201] GR3D_FREQ 0% cpu@54.625C soc2@49.031C soc0@50.375C gpu@48.781C tj@54.625C soc1@50.468C VDD_GPU_SOC 5311mW/5249mW VDD_CPU_CV 3033mW/3160mW VIN_SYS_5V0 5124mW/5041mW
09-23-2026 15:33:37 RAM 7185/30697MB (lfb 413x4MB) SWAP 414/15348MB (cached 0MB) CPU [1%@2201,0%@2201,0%@2201,0%@2201,100%@2201,0%@2201,1%@2201,0%@2201,0%@2201,1%@2201,0%@2201,1%@2201] GR3D_FREQ 0% cpu@54.5C soc2@48.968C soc0@50.468C gpu@48.281C tj@54.5C soc1@50.468C VDD_GPU_SOC 5313mW/5258mW VDD_CPU_CV 3033mW/3141mW VIN_SYS_5V0 5124mW/5052mW
09-23-2026 15:33:38 RAM 7240/30697MB (lfb 413x4MB) SWAP 414/15348MB (cached 0MB) CPU [1%@2201,0%@2201,0%@2201,0%@2201,100%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201] GR3D_FREQ 0% cpu@54.687C soc2@49.062C soc0@50.531C gpu@48.343C tj@54.687C soc1@50.437C VDD_GPU_SOC 5313mW/5265mW VDD_CPU_CV 3033mW/3128mW VIN_SYS_5V0 5124mW/5061mW
09-23-2026 15:33:39 RAM 7278/30697MB (lfb 413x4MB) SWAP 414/15348MB (cached 0MB) CPU [0%@2201,0%@2201,0%@2201,0%@2201,100%@2201,0%@2201,0%@2201,0%@2201,0%@2201,1%@2201,0%@2201,0%@2201] GR3D_FREQ 0% cpu@54.75C soc2@49.093C soc0@50.531C gpu@48.406C tj@54.75C soc1@50.625C VDD_GPU_SOC 5313mW/5270mW VDD_CPU_CV 3033mW/3117mW VIN_SYS_5V0 5124mW/5068mW
09-23-2026 15:33:40 RAM 7306/30697MB (lfb 413x4MB) SWAP 414/15348MB (cached 0MB) CPU [1%@2201,0%@2201,0%@2201,0%@2201,63%@2201,0%@2201,0%@2201,0%@2201,37%@2201,0%@2201,0%@2201,0%@2201] GR3D_FREQ 0% cpu@53.718C soc2@48.906C soc0@50.375C gpu@48.281C tj@53.718C soc1@50.375C VDD_GPU_SOC 4933mW/5236mW VDD_CPU_CV 3033mW/3109mW VIN_SYS_5V0 4923mW/5054mW
09-23-2026 15:33:41 RAM 7331/30697MB (lfb 413x4MB) SWAP 414/15348MB (cached 0MB) CPU [0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,1%@2201,0%@2201,100%@2201,0%@2201,0%@2201,0%@2201] GR3D_FREQ 0% cpu@53.75C soc2@48.937C soc0@50.312C gpu@48.375C tj@53.75C soc1@50.375C VDD_GPU_SOC 5313mW/5243mW VDD_CPU_CV 3033mW/3102mW VIN_SYS_5V0 5024mW/5051mW
09-23-2026 15:33:42 RAM 7344/30697MB (lfb 413x4MB) SWAP 414/15348MB (cached 0MB) CPU [0%@2201,1%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,100%@2201,0%@2201,0%@2201,0%@2201] GR3D_FREQ 0% cpu@53.5C soc2@48.906C soc0@50.5C gpu@48.375C tj@53.5C soc1@50.468C VDD_GPU_SOC 4933mW/5218mW VDD_CPU_CV 3033mW/3096mW VIN_SYS_5V0 4923mW/5040mW
09-23-2026 15:33:43 RAM 7365/30697MB (lfb 413x4MB) SWAP 414/15348MB (cached 0MB) CPU [9%@2201,6%@2201,6%@2201,7%@2201,7%@2201,7%@2201,7%@2201,7%@2201,100%@2201,7%@2201,7%@2201,8%@2201] GR3D_FREQ 0% cpu@53.656C soc2@48.968C soc0@50.5C gpu@48.312C tj@53.656C soc1@50.562C VDD_GPU_SOC 5313mW/5225mW VDD_CPU_CV 3033mW/3091mW VIN_SYS_5V0 5124mW/5047mW
09-23-2026 15:33:44 RAM 7386/30697MB (lfb 413x4MB) SWAP 414/15348MB (cached 0MB) CPU [1%@2201,0%@2201,1%@2201,0%@2201,0%@2201,0%@2201,1%@2201,0%@2201,100%@2201,0%@2201,1%@2201,0%@2201] GR3D_FREQ 0% cpu@53.531C soc2@49C soc0@50.562C gpu@48.406C tj@53.531C soc1@50.687C VDD_GPU_SOC 5313mW/5231mW VDD_CPU_CV 3033mW/3087mW VIN_SYS_5V0 5024mW/5045mW
09-23-2026 15:33:45 RAM 7396/30697MB (lfb 413x4MB) SWAP 414/15348MB (cached 0MB) CPU [0%@2201,0%@2201,1%@2201,0%@2201,0%@2201,1%@2201,0%@2201,0%@2201,100%@2201,0%@2201,1%@2201,0%@2201] GR3D_FREQ 0% cpu@53.687C soc2@48.906C soc0@50.375C gpu@48.468C tj@53.687C soc1@50.468C VDD_GPU_SOC 4933mW/5211mW VDD_CPU_CV 3033mW/3084mW VIN_SYS_5V0 4823mW/5030mW
09-23-2026 15:33:46 RAM 7398/30697MB (lfb 413x4MB) SWAP 414/15348MB (cached 0MB) CPU [1%@2201,0%@2201,0%@2201,0%@2201,75%@2201,0%@2201,0%@2201,1%@2201,24%@2201,1%@2201,1%@2201,0%@2201] GR3D_FREQ 0% cpu@55.031C soc2@49.093C soc0@50.468C gpu@48.531C tj@55.031C soc1@50.468C VDD_GPU_SOC 4933mW/5194mW VDD_CPU_CV 3412mW/3104mW VIN_SYS_5V0 4923mW/5024mW
