09-23-2026 11:24:50 RAM 10686/30697MB (lfb 156x4MB) SWAP 2463/15348MB (cached 0MB) CPU [27%@2201,15%@2201,20%@2201,22%@2201,26%@2201,12%@2201,12%@2201,56%@2201,23%@2201,9%@2201,19%@2201,24%@2201] GR3D_FREQ 0% cpu@52.281C soc2@46.781C soc0@48.125C gpu@46.093C tj@52.281C soc1@47.937C VDD_GPU_SOC 5308mW/5308mW VDD_CPU_CV 4546mW/4546mW VIN_SYS_5V0 5425mW/5425mW
09-23-2026 11:24:51 RAM 10498/30697MB (lfb 158x4MB) SWAP 2463/15348MB (cached 0MB) CPU [25%@2201,15%@2201,97%@2201,17%@2201,18%@2201,15%@2201,17%@2201,52%@2201,16%@2201,13%@2201,14%@2201,14%@2201] GR3D_FREQ 0% cpu@51.5C soc2@46.781C soc0@48.187C gpu@46.281C tj@51.5C soc1@48.062C VDD_GPU_SOC 5308mW/5308mW VDD_CPU_CV 3790mW/4168mW VIN_SYS_5V0 5224mW/5325mW
09-23-2026 11:24:52 RAM 10563/30697MB (lfb 158x4MB) SWAP 2463/15348MB (cached 0MB) CPU [10%@2201,4%@2201,36%@2201,3%@2201,0%@2201,1%@2201,2%@2201,1%@2201,65%@2201,1%@2201,2%@2201,0%@2201] GR3D_FREQ 0% cpu@51.468C soc2@46.812C soc0@48.25C gpu@46.312C tj@51.468C soc1@48.093C VDD_GPU_SOC 5311mW/5309mW VDD_CPU_CV 3411mW/3916mW VIN_SYS_5V0 5224mW/5291mW
09-23-2026 11:24:53 RAM 10686/30697MB (lfb 140x4MB) SWAP 2463/15348MB (cached 0MB) CPU [16%@2201,5%@2201,4%@2201,2%@2201,6%@2201,3%@2201,2%@2201,1%@2201,99%@2201,5%@2201,1%@2201,1%@2201] GR3D_FREQ 0% cpu@51.625C soc2@46.812C soc0@48.312C gpu@46.187C tj@51.625C soc1@48.25C VDD_GPU_SOC 5311mW/5310mW VDD_CPU_CV 3411mW/3790mW VIN_SYS_5V0 5224mW/5274mW
09-23-2026 11:24:54 RAM 10787/30697MB (lfb 114x4MB) SWAP 2463/15348MB (cached 0MB) CPU [13%@2201,3%@2201,1%@2201,1%@2201,17%@2201,11%@2201,8%@2201,4%@2201,18%@2201,98%@2201,7%@2201,6%@2201] GR3D_FREQ 0% cpu@52C soc2@46.75C soc0@48.093C gpu@46.25C tj@52C soc1@47.968C VDD_GPU_SOC 5311mW/5310mW VDD_CPU_CV 3412mW/3714mW VIN_SYS_5V0 5425mW/5304mW
09-23-2026 11:24:55 RAM 10646/30697MB (lfb 107x4MB) SWAP 2463/15348MB (cached 0MB) CPU [27%@2201,39%@2201,34%@2201,15%@2201,27%@2201,21%@2201,21%@2201,19%@2201,28%@2201,61%@2201,18%@2201,28%@2201] GR3D_FREQ 0% cpu@52.375C soc2@46.875C soc0@48.187C gpu@46.281C tj@52.375C soc1@48.125C VDD_GPU_SOC 5308mW/5310mW VDD_CPU_CV 5304mW/3979mW VIN_SYS_5V0 5425mW/5325mW
09-23-2026 11:24:56 RAM 10710/30697MB (lfb 87x4MB) SWAP 2463/15348MB (cached 0MB) CPU [16%@2201,10%@2201,16%@2201,7%@2201,93%@2201,4%@2201,10%@2201,1%@2201,18%@2201,14%@2201,4%@2201,8%@2201] GR3D_FREQ 0% cpu@52.718C soc2@46.875C soc0@48.187C gpu@46.312C tj@52.718C soc1@48.093C VDD_GPU_SOC 5311mW/5310mW VDD_CPU_CV 4169mW/4006mW VIN_SYS_5V0 5425mW/5339mW
09-23-2026 11:24:57 RAM 10830/30697MB (lfb 84x4MB) SWAP 2463/15348MB (cached 0MB) CPU [17%@2201,9%@2201,12%@2201,10%@2201,39%@2201,57%@2201,9%@2201,3%@2201,28%@2201,5%@2201,2%@2201,0%@2201] GR3D_FREQ 0% cpu@52.125C soc2@46.843C soc0@48.187C gpu@46.093C tj@52.125C soc1@48.218C VDD_GPU_SOC 5311mW/5310mW VDD_CPU_CV 3790mW/3979mW VIN_SYS_5V0 5325mW/5337mW
09-23-2026 11:24:58 RAM 10913/30697MB (lfb 84x4MB) SWAP 2463/15348MB (cached 0MB) CPU [44%@2201,8%@2201,5%@2201,4%@2201,16%@2201,68%@2201,3%@2201,10%@2201,17%@2201,5%@2201,4%@2201,7%@2201] GR3D_FREQ 0% cpu@51.937C soc2@47C soc0@48.375C gpu@46.156C tj@52.093C soc1@48.281C VDD_GPU_SOC 5311mW/5310mW VDD_CPU_CV 3790mW/3958mW VIN_SYS_5V0 5325mW/5336mW
09-23-2026 11:24:59 RAM 11029/30697MB (lfb 83x4MB) SWAP 2463/15348MB (cached 0MB) CPU [28%@2201,8%@2201,3%@2201,8%@2201,10%@2201,8%@2201,1%@2201,6%@2201,13%@2201,2%@2201,8%@2201,89%@2201] GR3D_FREQ 0% cpu@51.906C soc2@46.875C soc0@48.093C gpu@46.187C tj@51.906C soc1@48.062C VDD_GPU_SOC 5311mW/5310mW VDD_CPU_CV 3790mW/3941mW VIN_SYS_5V0 5325mW/5335mW
09-23-2026 11:25:00 RAM 11035/30697MB (lfb 83x4MB) SWAP 2463/15348MB (cached 0MB) CPU [21%@2201,9%@2201,10%@2201,6%@2201,10%@2201,9%@2201,3%@2201,2%@2201,16%@2201,14%@2201,2%@2201,100%@2201] GR3D_FREQ 0% cpu@52.062C soc2@46.875C soc0@48.281C gpu@46.156C tj@52.062C soc1@48.062C VDD_GPU_SOC 5311mW/5310mW VDD_CPU_CV 4169mW/3962mW VIN_SYS_5V0 5224mW/5325mW
09-23-2026 11:25:01 RAM 11041/30697MB (lfb 47x4MB) SWAP 2463/15348MB (cached 0MB) CPU [17%@2201,11%@2201,10%@2201,10%@2201,11%@2201,6%@2201,3%@2201,1%@2201,14%@2201,29%@2201,5%@2201,98%@2201] GR3D_FREQ 0% cpu@52.031C soc2@46.75C soc0@48.25C gpu@46.25C tj@52.031C soc1@48.062C VDD_GPU_SOC 5308mW/5310mW VDD_CPU_CV 4169mW/3979mW VIN_SYS_5V0 5425mW/5333mW
09-23-2026 11:25:02 RAM 10726/30697MB (lfb 19x4MB) SWAP 2463/15348MB (cached 0MB) CPU [8%@2201,4%@2201,4%@2201,2%@2201,36%@2201,3%@2201,3%@2201,15%@2201,16%@2201,13%@2201,0%@2201,98%@2201] GR3D_FREQ 0% cpu@51.843C soc2@46.875C soc0@48.281C gpu@46.218C tj@51.843C soc1@48.218C VDD_GPU_SOC 5306mW/5310mW VDD_CPU_CV 4167mW/3994mW VIN_SYS_5V0 5325mW/5332mW
