09-23-2026 15:34:55 RAM 3346/30697MB (lfb 433x4MB) SWAP 414/15348MB (cached 0MB) CPU [12%@2201,22%@2201,11%@2201,8%@2201,10%@2201,10%@2201,10%@2201,9%@2201,11%@2201,9%@2201,48%@2201,8%@2201] GR3D_FREQ 0% cpu@55.406C soc2@50.5C soc0@51.937C gpu@50.218C tj@55.406C soc1@52.125C VDD_GPU_SOC 4931mW/4931mW VDD_CPU_CV 4169mW/4169mW VIN_SYS_5V0 4923mW/4923mW
09-23-2026 15:34:56 RAM 3433/30697MB (lfb 433x4MB) SWAP 414/15348MB (cached 0MB) CPU [7%@2201,7%@2201,7%@2201,7%@2201,7%@2201,7%@2201,7%@2201,7%@2201,7%@2201,8%@2201,100%@2201,7%@2201] GR3D_FREQ 0% cpu@54.906C soc2@50.187C soc0@51.906C gpu@50.156C tj@54.906C soc1@51.812C VDD_GPU_SOC 4933mW/4932mW VDD_CPU_CV 3033mW/3601mW VIN_SYS_5V0 5124mW/5024mW
09-23-2026 15:34:57 RAM 3475/30697MB (lfb 433x4MB) SWAP 414/15348MB (cached 0MB) CPU [0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,1%@2201,0%@2201,100%@2201,0%@2201] GR3D_FREQ 0% cpu@54.968C soc2@50.156C soc0@51.625C gpu@50.031C tj@54.968C soc1@51.656C VDD_GPU_SOC 4933mW/4932mW VDD_CPU_CV 3033mW/3412mW VIN_SYS_5V0 5024mW/5024mW
09-23-2026 15:34:58 RAM 3511/30697MB (lfb 433x4MB) SWAP 414/15348MB (cached 0MB) CPU [1%@2201,0%@2201,1%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,1%@2201,1%@2201,100%@2201,0%@2201] GR3D_FREQ 0% cpu@54.718C soc2@50.093C soc0@51.593C gpu@49.437C tj@54.718C soc1@51.687C VDD_GPU_SOC 4933mW/4933mW VDD_CPU_CV 3033mW/3317mW VIN_SYS_5V0 4923mW/4999mW
09-23-2026 15:34:59 RAM 3210/30697MB (lfb 433x4MB) SWAP 414/15348MB (cached 0MB) CPU [2%@2201,1%@2201,3%@2201,2%@2201,5%@2201,1%@2201,1%@2201,2%@2201,2%@2201,1%@2201,95%@2201,2%@2201] GR3D_FREQ 0% cpu@55.656C soc2@50.187C soc0@51.687C gpu@49.625C tj@55.656C soc1@51.843C VDD_GPU_SOC 5313mW/5009mW VDD_CPU_CV 2654mW/3184mW VIN_SYS_5V0 5224mW/5044mW
09-23-2026 15:35:00 RAM 3428/30697MB (lfb 433x4MB) SWAP 414/15348MB (cached 0MB) CPU [13%@2201,12%@2201,12%@2201,11%@2201,100%@2201,12%@2201,13%@2201,13%@2201,12%@2201,12%@2201,12%@2201,12%@2201] GR3D_FREQ 0% cpu@56C soc2@50.125C soc0@51.718C gpu@49.625C tj@56C soc1@51.687C VDD_GPU_SOC 4931mW/4996mW VDD_CPU_CV 3412mW/3222mW VIN_SYS_5V0 5124mW/5057mW
09-23-2026 15:35:01 RAM 3462/30697MB (lfb 433x4MB) SWAP 414/15348MB (cached 0MB) CPU [0%@2201,0%@2201,0%@2201,2%@2201,100%@2201,0%@2201,0%@2201,0%@2201,2%@2201,3%@2201,0%@2201,0%@2201] GR3D_FREQ 0% cpu@56.031C soc2@50.125C soc0@51.5C gpu@49.625C tj@56.031C soc1@51.593C VDD_GPU_SOC 4933mW/4987mW VDD_CPU_CV 3033mW/3195mW VIN_SYS_5V0 5124mW/5067mW
09-23-2026 15:35:02 RAM 3515/30697MB (lfb 433x4MB) SWAP 414/15348MB (cached 0MB) CPU [1%@2201,0%@2201,0%@2201,0%@2201,100%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201] GR3D_FREQ 0% cpu@55.906C soc2@50.093C soc0@51.531C gpu@49.625C tj@55.75C soc1@51.593C VDD_GPU_SOC 4933mW/4980mW VDD_CPU_CV 3033mW/3175mW VIN_SYS_5V0 5124mW/5074mW
09-23-2026 15:35:03 RAM 3549/30697MB (lfb 433x4MB) SWAP 414/15348MB (cached 0MB) CPU [2%@2201,0%@2201,0%@2201,0%@2201,100%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201] GR3D_FREQ 0% cpu@55.593C soc2@50.25C soc0@51.5C gpu@49.437C tj@55.593C soc1@51.593C VDD_GPU_SOC 4933mW/4975mW VDD_CPU_CV 3033mW/3159mW VIN_SYS_5V0 5124mW/5079mW
09-23-2026 15:35:04 RAM 3583/30697MB (lfb 433x4MB) SWAP 414/15348MB (cached 0MB) CPU [2%@2201,0%@2201,1%@2201,0%@2201,100%@2201,0%@2201,1%@2201,0%@2201,0%@2201,1%@2201,0%@2201,0%@2201] GR3D_FREQ 0% cpu@55.593C soc2@50.093C soc0@51.562C gpu@49.406C tj@55.593C soc1@51.75C VDD_GPU_SOC 4933mW/4971mW VDD_CPU_CV 3033mW/3147mW VIN_SYS_5V0 4923mW/5064mW
09-23-2026 15:35:05 RAM 3603/30697MB (lfb 433x4MB) SWAP 414/15348MB (cached 0MB) CPU [1%@2201,0%@2201,0%@2201,0%@2201,100%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,1%@2201] GR3D_FREQ 0% cpu@55.781C soc2@50.093C soc0@51.562C gpu@49.343C tj@55.781C soc1@51.843C VDD_GPU_SOC 4933mW/4967mW VDD_CPU_CV 3033mW/3136mW VIN_SYS_5V0 5024mW/5060mW
09-23-2026 15:35:06 RAM 3616/30697MB (lfb 433x4MB) SWAP 414/15348MB (cached 0MB) CPU [1%@2201,0%@2201,1%@2201,0%@2201,100%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201] GR3D_FREQ 0% cpu@55.75C soc2@50.031C soc0@51.437C gpu@49.25C tj@56.031C soc1@51.406C VDD_GPU_SOC 4933mW/4964mW VDD_CPU_CV 3033mW/3128mW VIN_SYS_5V0 4923mW/5049mW
09-23-2026 15:35:07 RAM 3640/30697MB (lfb 433x4MB) SWAP 414/15348MB (cached 0MB) CPU [7%@2201,8%@2201,7%@2201,6%@2201,100%@2201,7%@2201,8%@2201,9%@2201,9%@2201,7%@2201,7%@2201,7%@2201] GR3D_FREQ 0% cpu@55.843C soc2@50.031C soc0@51.406C gpu@49.312C tj@55.843C soc1@51.5C VDD_GPU_SOC 4933mW/4962mW VDD_CPU_CV 3033mW/3120mW VIN_SYS_5V0 5124mW/5054mW
09-23-2026 15:35:08 RAM 3658/30697MB (lfb 433x4MB) SWAP 414/15348MB (cached 0MB) CPU [1%@2201,0%@2201,0%@2201,0%@2201,100%@2201,0%@2201,1%@2201,0%@2201,1%@2201,1%@2201,0%@2201,0%@2201] GR3D_FREQ 0% cpu@55.531C soc2@50C soc0@51.468C gpu@49.343C tj@55.531C soc1@51.5C VDD_GPU_SOC 4933mW/4960mW VDD_CPU_CV 3033mW/3114mW VIN_SYS_5V0 5024mW/5052mW
09-23-2026 15:35:09 RAM 3671/30697MB (lfb 433x4MB) SWAP 414/15348MB (cached 0MB) CPU [8%@2201,0%@2201,0%@2201,0%@2201,100%@2201,0%@2201,1%@2201,2%@2201,1%@2201,2%@2201,0%@2201,1%@2201] GR3D_FREQ 0% cpu@55.468C soc2@50.156C soc0@51.468C gpu@49.343C tj@55.468C soc1@51.562C VDD_GPU_SOC 4933mW/4958mW VDD_CPU_CV 3033mW/3109mW VIN_SYS_5V0 4923mW/5044mW
09-23-2026 15:35:10 RAM 3685/30697MB (lfb 433x4MB) SWAP 414/15348MB (cached 0MB) CPU [5%@2201,1%@2201,0%@2201,8%@2201,29%@2201,0%@2201,0%@2201,3%@2201,75%@2201,0%@2201,2%@2201,1%@2201] GR3D_FREQ 0% cpu@54.593C soc2@50.125C soc0@51.5C gpu@49.312C tj@54.687C soc1@51.687C VDD_GPU_SOC 4931mW/4956mW VDD_CPU_CV 3412mW/3128mW VIN_SYS_5V0 5024mW/5042mW
09-23-2026 15:35:11 RAM 3685/30697MB (lfb 433x4MB) SWAP 414/15348MB (cached 0MB) CPU [1%@2201,11%@2201,2%@2201,2%@2201,0%@2201,0%@2201,2%@2201,1%@2201,100%@2201,1%@2201,0%@2201,3%@2201] GR3D_FREQ 0% cpu@54.718C soc2@49.968C soc0@51.625C gpu@49.312C tj@54.718C soc1@51.781C VDD_GPU_SOC 4933mW/4955mW VDD_CPU_CV 3412mW/3144mW VIN_SYS_5V0 5024mW/5041mW
09-23-2026 15:35:12 RAM 3686/30697MB (lfb 433x4MB) SWAP 414/15348MB (cached 0MB) CPU [0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,100%@2201,0%@2201,0%@2201,0%@2201] GR3D_FREQ 0% cpu@54.781C soc2@49.937C soc0@51.406C gpu@49.343C tj@54.781C soc1@51.437C VDD_GPU_SOC 4933mW/4954mW VDD_CPU_CV 3412mW/3159mW VIN_SYS_5V0 4923mW/5035mW
09-23-2026 15:35:13 RAM 3685/30697MB (lfb 433x4MB) SWAP 414/15348MB (cached 0MB) CPU [0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,100%@2201,0%@2201,0%@2201,0%@2201] GR3D_FREQ 0% cpu@54.562C soc2@49.937C soc0@51.406C gpu@49.312C tj@54.562C soc1@51.468C VDD_GPU_SOC 4933mW/4953mW VDD_CPU_CV 3412mW/3173mW VIN_SYS_5V0 4923mW/5029mW
