0.00.000.596 I srv  llama_server: initializing ...
0.00.010.944 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.011.579 W srv  llama_server: security: no API key is set and CORS allows all origins (see https://github.com/ggml-org/llama.cpp/pull/25655)
0.00.014.913 I srv    load_model: loading model '/opt/hf-cache/hub/models--ggml-org--Qwen2.5-VL-3B-Instruct-GGUF/snapshots/5037fcf163dd95d1e41d1974465f0898ed108ca2/Qwen2.5-VL-3B-Instruct-Q4_K_M.gguf'
0.01.423.569 W load: control-looking token: 128247 '</s>' was not control-type; this is probably a bug in the model. its type will be overridden
0.03.016.960 I cmn          init: llama threadpool init, n_threads = 12
0.03.090.813 W load_hparams: Qwen-VL models require at minimum 1024 image tokens to function correctly on grounding tasks
0.03.090.821 W load_hparams: if you encounter problems with accuracy, try adding --image-min-tokens 1024
0.03.090.821 W load_hparams: more info: https://github.com/ggml-org/llama.cpp/issues/16842

0.04.015.955 I srv    load_model: loaded multimodal model, '/opt/hf-cache/hub/models--ggml-org--Qwen2.5-VL-3B-Instruct-GGUF/snapshots/5037fcf163dd95d1e41d1974465f0898ed108ca2/mmproj-Qwen2.5-VL-3B-Instruct-f16.gguf'
0.04.048.816 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 4096, kv_unified = 'false'
0.04.048.962 W srv          init: --cache-idle-slots requires --cache-ram, disabling
0.04.053.457 I srv  llama_server: model loaded
0.04.053.467 I srv  llama_server: listening on http://127.0.0.1:8090
0.27.791.127 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
0.27.791.257 I slot launch_slot_: id  0 | task 0 | processing task, is_child = 0
0.28.328.621 I slot print_timing: id  0 | task 0 | prompt eval time =     511.66 ms /   319 tokens (    1.60 ms per token,   623.46 tokens per second)
0.28.328.628 I slot print_timing: id  0 | task 0 |        eval time =      25.63 ms /     2 tokens (   25.63 ms per token,    39.01 tokens per second)
0.28.328.629 I slot print_timing: id  0 | task 0 |       total time =     537.30 ms /   321 tokens
0.28.328.636 I slot print_timing: id  0 | task 0 |    graphs reused =          1
0.28.328.697 I slot      release: id  0 | task 0 | stop processing: n_tokens = 320, truncated = 0
0.28.347.659 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.928 (> 0.100 thold), f_keep = 0.928
0.28.347.758 I slot launch_slot_: id  0 | task 4 | processing task, is_child = 0
0.28.822.952 I slot print_timing: id  0 | task 4 | prompt eval time =     452.05 ms /   320 tokens (    1.41 ms per token,   707.88 tokens per second)
0.28.822.959 I slot print_timing: id  0 | task 4 |        eval time =      23.09 ms /     2 tokens (   23.09 ms per token,    43.31 tokens per second)
0.28.822.960 I slot print_timing: id  0 | task 4 |       total time =     475.14 ms /   322 tokens
0.28.822.962 I slot print_timing: id  0 | task 4 |    graphs reused =          1
0.28.822.992 I slot      release: id  0 | task 4 | stop processing: n_tokens = 321, truncated = 0
0.28.846.744 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 984270853848
0.28.846.829 I slot launch_slot_: id  0 | task 8 | processing task, is_child = 0
0.29.333.536 I slot print_timing: id  0 | task 8 | prompt eval time =     463.62 ms /   328 tokens (    1.41 ms per token,   707.48 tokens per second)
0.29.333.543 I slot print_timing: id  0 | task 8 |        eval time =      23.04 ms /     2 tokens (   23.04 ms per token,    43.40 tokens per second)
0.29.333.544 I slot print_timing: id  0 | task 8 |       total time =     486.66 ms /   330 tokens
0.29.333.545 I slot print_timing: id  0 | task 8 |    graphs reused =          1
0.29.333.575 I slot      release: id  0 | task 8 | stop processing: n_tokens = 329, truncated = 0
0.29.356.454 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.945 (> 0.100 thold), f_keep = 0.942
0.29.356.560 I slot launch_slot_: id  0 | task 12 | processing task, is_child = 0
0.29.842.258 I slot print_timing: id  0 | task 12 | prompt eval time =     462.62 ms /   328 tokens (    1.41 ms per token,   709.00 tokens per second)
0.29.842.265 I slot print_timing: id  0 | task 12 |        eval time =      23.03 ms /     2 tokens (   23.03 ms per token,    43.43 tokens per second)
0.29.842.266 I slot print_timing: id  0 | task 12 |       total time =     485.65 ms /   330 tokens
0.29.842.268 I slot print_timing: id  0 | task 12 |    graphs reused =          1
0.29.842.301 I slot      release: id  0 | task 12 | stop processing: n_tokens = 329, truncated = 0
0.29.866.822 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 984271873156
0.29.866.927 I slot launch_slot_: id  0 | task 16 | processing task, is_child = 0
0.30.344.597 I slot print_timing: id  0 | task 16 | prompt eval time =     454.62 ms /   319 tokens (    1.43 ms per token,   701.68 tokens per second)
0.30.344.603 I slot print_timing: id  0 | task 16 |        eval time =      23.00 ms /     2 tokens (   23.00 ms per token,    43.48 tokens per second)
0.30.344.605 I slot print_timing: id  0 | task 16 |       total time =     477.62 ms /   321 tokens
0.30.344.607 I slot print_timing: id  0 | task 16 |    graphs reused =          1
0.30.344.639 I slot      release: id  0 | task 16 | stop processing: n_tokens = 320, truncated = 0
0.30.368.317 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.944 (> 0.100 thold), f_keep = 0.941
0.30.368.425 I slot launch_slot_: id  0 | task 20 | processing task, is_child = 0
0.30.845.512 I slot print_timing: id  0 | task 20 | prompt eval time =     454.05 ms /   319 tokens (    1.42 ms per token,   702.57 tokens per second)
0.30.845.519 I slot print_timing: id  0 | task 20 |        eval time =      22.99 ms /     2 tokens (   22.99 ms per token,    43.50 tokens per second)
0.30.845.520 I slot print_timing: id  0 | task 20 |       total time =     477.04 ms /   321 tokens
0.30.845.522 I slot print_timing: id  0 | task 20 |    graphs reused =          1
0.30.845.555 I slot      release: id  0 | task 20 | stop processing: n_tokens = 320, truncated = 0
