0.00.000.618 I srv  llama_server: initializing ...
0.00.010.753 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.011.383 W srv  llama_server: security: no API key is set and CORS allows all origins (see https://github.com/ggml-org/llama.cpp/pull/25655)
0.00.014.168 I srv    load_model: loading model '/opt/hf-cache/hub/models--ggml-org--Qwen2.5-VL-3B-Instruct-GGUF/snapshots/5037fcf163dd95d1e41d1974465f0898ed108ca2/Qwen2.5-VL-3B-Instruct-Q8_0.gguf'
0.01.131.018 W load: control-looking token: 128247 '</s>' was not control-type; this is probably a bug in the model. its type will be overridden
0.03.344.682 I cmn          init: llama threadpool init, n_threads = 12
0.03.405.800 W load_hparams: Qwen-VL models require at minimum 1024 image tokens to function correctly on grounding tasks
0.03.405.807 W load_hparams: if you encounter problems with accuracy, try adding --image-min-tokens 1024
0.03.405.808 W load_hparams: more info: https://github.com/ggml-org/llama.cpp/issues/16842

0.04.495.480 I srv    load_model: loaded multimodal model, '/opt/hf-cache/hub/models--ggml-org--Qwen2.5-VL-3B-Instruct-GGUF/snapshots/5037fcf163dd95d1e41d1974465f0898ed108ca2/mmproj-Qwen2.5-VL-3B-Instruct-f16.gguf'
0.04.529.309 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 4096, kv_unified = 'false'
0.04.529.459 W srv          init: --cache-idle-slots requires --cache-ram, disabling
0.04.533.916 I srv  llama_server: model loaded
0.04.533.928 I srv  llama_server: listening on http://127.0.0.1:8090
0.30.230.021 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
0.30.230.126 I slot launch_slot_: id  0 | task 0 | processing task, is_child = 0
0.30.794.742 I slot print_timing: id  0 | task 0 | prompt eval time =     533.95 ms /   319 tokens (    1.67 ms per token,   597.44 tokens per second)
0.30.794.750 I slot print_timing: id  0 | task 0 |        eval time =      30.59 ms /     2 tokens (   30.59 ms per token,    32.69 tokens per second)
0.30.794.751 I slot print_timing: id  0 | task 0 |       total time =     564.54 ms /   321 tokens
0.30.794.757 I slot print_timing: id  0 | task 0 |    graphs reused =          1
0.30.794.818 I slot      release: id  0 | task 0 | stop processing: n_tokens = 320, truncated = 0
0.30.812.804 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.928 (> 0.100 thold), f_keep = 0.928
0.30.812.898 I slot launch_slot_: id  0 | task 4 | processing task, is_child = 0
0.31.291.472 I slot print_timing: id  0 | task 4 | prompt eval time =     450.37 ms /   320 tokens (    1.41 ms per token,   710.53 tokens per second)
0.31.291.480 I slot print_timing: id  0 | task 4 |        eval time =      28.16 ms /     2 tokens (   28.16 ms per token,    35.51 tokens per second)
0.31.291.481 I slot print_timing: id  0 | task 4 |       total time =     478.53 ms /   322 tokens
0.31.291.483 I slot print_timing: id  0 | task 4 |    graphs reused =          1
0.31.291.513 I slot      release: id  0 | task 4 | stop processing: n_tokens = 321, truncated = 0
0.31.313.631 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 1013708461379
0.31.313.725 I slot launch_slot_: id  0 | task 8 | processing task, is_child = 0
0.31.801.837 I slot print_timing: id  0 | task 8 | prompt eval time =     459.62 ms /   328 tokens (    1.40 ms per token,   713.63 tokens per second)
0.31.801.844 I slot print_timing: id  0 | task 8 |        eval time =      28.44 ms /     2 tokens (   28.44 ms per token,    35.16 tokens per second)
0.31.801.845 I slot print_timing: id  0 | task 8 |       total time =     488.06 ms /   330 tokens
0.31.801.847 I slot print_timing: id  0 | task 8 |    graphs reused =          1
0.31.801.877 I slot      release: id  0 | task 8 | stop processing: n_tokens = 329, truncated = 0
0.31.822.952 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.945 (> 0.100 thold), f_keep = 0.942
0.31.823.046 I slot launch_slot_: id  0 | task 12 | processing task, is_child = 0
0.32.310.459 I slot print_timing: id  0 | task 12 | prompt eval time =     458.98 ms /   328 tokens (    1.40 ms per token,   714.62 tokens per second)
0.32.310.466 I slot print_timing: id  0 | task 12 |        eval time =      28.38 ms /     2 tokens (   28.38 ms per token,    35.24 tokens per second)
0.32.310.467 I slot print_timing: id  0 | task 12 |       total time =     487.36 ms /   330 tokens
0.32.310.468 I slot print_timing: id  0 | task 12 |    graphs reused =          1
0.32.310.498 I slot      release: id  0 | task 12 | stop processing: n_tokens = 329, truncated = 0
0.32.332.685 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 1013709480364
0.32.332.777 I slot launch_slot_: id  0 | task 16 | processing task, is_child = 0
0.32.812.583 I slot print_timing: id  0 | task 16 | prompt eval time =     451.45 ms /   319 tokens (    1.42 ms per token,   706.62 tokens per second)
0.32.812.590 I slot print_timing: id  0 | task 16 |        eval time =      28.31 ms /     2 tokens (   28.31 ms per token,    35.33 tokens per second)
0.32.812.591 I slot print_timing: id  0 | task 16 |       total time =     479.75 ms /   321 tokens
0.32.812.593 I slot print_timing: id  0 | task 16 |    graphs reused =          1
0.32.812.623 I slot      release: id  0 | task 16 | stop processing: n_tokens = 320, truncated = 0
0.32.834.395 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.944 (> 0.100 thold), f_keep = 0.941
0.32.834.478 I slot launch_slot_: id  0 | task 20 | processing task, is_child = 0
0.33.313.556 I slot print_timing: id  0 | task 20 | prompt eval time =     450.63 ms /   319 tokens (    1.41 ms per token,   707.90 tokens per second)
0.33.313.565 I slot print_timing: id  0 | task 20 |        eval time =      28.39 ms /     2 tokens (   28.39 ms per token,    35.22 tokens per second)
0.33.313.566 I slot print_timing: id  0 | task 20 |       total time =     479.02 ms /   321 tokens
0.33.313.568 I slot print_timing: id  0 | task 20 |    graphs reused =          1
0.33.313.599 I slot      release: id  0 | task 20 | stop processing: n_tokens = 320, truncated = 0
0.33.330.872 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 1013710483465
0.33.330.960 I slot launch_slot_: id  0 | task 24 | processing task, is_child = 0
0.33.808.290 I slot print_timing: id  0 | task 24 | prompt eval time =     448.92 ms /   322 tokens (    1.39 ms per token,   717.27 tokens per second)
0.33.808.296 I slot print_timing: id  0 | task 24 |        eval time =      28.36 ms /     2 tokens (   28.36 ms per token,    35.26 tokens per second)
0.33.808.297 I slot print_timing: id  0 | task 24 |       total time =     477.28 ms /   324 tokens
0.33.808.299 I slot print_timing: id  0 | task 24 |    graphs reused =          1
0.33.808.329 I slot      release: id  0 | task 24 | stop processing: n_tokens = 323, truncated = 0
0.33.825.463 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.944 (> 0.100 thold), f_keep = 0.938
0.33.825.551 I slot launch_slot_: id  0 | task 28 | processing task, is_child = 0
0.34.300.649 I slot print_timing: id  0 | task 28 | prompt eval time =     446.71 ms /   321 tokens (    1.39 ms per token,   718.58 tokens per second)
0.34.300.655 I slot print_timing: id  0 | task 28 |        eval time =      28.33 ms /     2 tokens (   28.33 ms per token,    35.30 tokens per second)
0.34.300.656 I slot print_timing: id  0 | task 28 |       total time =     475.05 ms /   323 tokens
0.34.300.658 I slot print_timing: id  0 | task 28 |    graphs reused =          1
0.34.300.688 I slot      release: id  0 | task 28 | stop processing: n_tokens = 322, truncated = 0
0.34.316.812 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 1013711470555
0.34.316.909 I slot launch_slot_: id  0 | task 32 | processing task, is_child = 0
0.34.796.352 I slot print_timing: id  0 | task 32 | prompt eval time =     450.98 ms /   319 tokens (    1.41 ms per token,   707.35 tokens per second)
0.34.796.359 I slot print_timing: id  0 | task 32 |        eval time =      28.41 ms /     2 tokens (   28.41 ms per token,    35.20 tokens per second)
0.34.796.360 I slot print_timing: id  0 | task 32 |       total time =     479.39 ms /   321 tokens
0.34.796.362 I slot print_timing: id  0 | task 32 |    graphs reused =          1
0.34.796.393 I slot      release: id  0 | task 32 | stop processing: n_tokens = 320, truncated = 0
0.34.812.505 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.943 (> 0.100 thold), f_keep = 0.938
0.34.812.596 I slot launch_slot_: id  0 | task 36 | processing task, is_child = 0
0.35.291.969 I slot print_timing: id  0 | task 36 | prompt eval time =     450.91 ms /   318 tokens (    1.42 ms per token,   705.24 tokens per second)
0.35.291.976 I slot print_timing: id  0 | task 36 |        eval time =      28.41 ms /     2 tokens (   28.41 ms per token,    35.20 tokens per second)
0.35.291.977 I slot print_timing: id  0 | task 36 |       total time =     479.32 ms /   320 tokens
0.35.291.978 I slot print_timing: id  0 | task 36 |    graphs reused =          1
0.35.292.010 I slot      release: id  0 | task 36 | stop processing: n_tokens = 319, truncated = 0
0.35.315.296 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 1013712461877
0.35.315.387 I slot launch_slot_: id  0 | task 40 | processing task, is_child = 0
0.35.782.214 I slot print_timing: id  0 | task 40 | prompt eval time =     438.28 ms /   301 tokens (    1.46 ms per token,   686.77 tokens per second)
0.35.782.222 I slot print_timing: id  0 | task 40 |        eval time =      28.49 ms /     2 tokens (   28.49 ms per token,    35.10 tokens per second)
0.35.782.223 I slot print_timing: id  0 | task 40 |       total time =     466.77 ms /   303 tokens
0.35.782.224 I slot print_timing: id  0 | task 40 |    graphs reused =          1
0.35.782.254 I slot      release: id  0 | task 40 | stop processing: n_tokens = 302, truncated = 0
0.35.803.466 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.927 (> 0.100 thold), f_keep = 0.921
0.35.803.560 I slot launch_slot_: id  0 | task 44 | processing task, is_child = 0
0.36.269.399 I slot print_timing: id  0 | task 44 | prompt eval time =     437.41 ms /   300 tokens (    1.46 ms per token,   685.86 tokens per second)
0.36.269.407 I slot print_timing: id  0 | task 44 |        eval time =      28.38 ms /     2 tokens (   28.38 ms per token,    35.23 tokens per second)
0.36.269.408 I slot print_timing: id  0 | task 44 |       total time =     465.79 ms /   302 tokens
0.36.269.410 I slot print_timing: id  0 | task 44 |    graphs reused =          1
0.36.269.439 I slot      release: id  0 | task 44 | stop processing: n_tokens = 301, truncated = 0
0.36.287.528 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 1013713439305
0.36.287.622 I slot launch_slot_: id  0 | task 48 | processing task, is_child = 0
0.36.780.875 I slot print_timing: id  0 | task 48 | prompt eval time =     464.82 ms /   335 tokens (    1.39 ms per token,   720.71 tokens per second)
0.36.780.882 I slot print_timing: id  0 | task 48 |        eval time =      28.38 ms /     2 tokens (   28.38 ms per token,    35.23 tokens per second)
0.36.780.883 I slot print_timing: id  0 | task 48 |       total time =     493.21 ms /   337 tokens
0.36.780.885 I slot print_timing: id  0 | task 48 |    graphs reused =          1
0.36.780.917 I slot      release: id  0 | task 48 | stop processing: n_tokens = 336, truncated = 0
0.36.798.750 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.946 (> 0.100 thold), f_keep = 0.940
0.36.798.843 I slot launch_slot_: id  0 | task 52 | processing task, is_child = 0
0.37.291.227 I slot print_timing: id  0 | task 52 | prompt eval time =     463.94 ms /   334 tokens (    1.39 ms per token,   719.93 tokens per second)
0.37.291.234 I slot print_timing: id  0 | task 52 |        eval time =      28.40 ms /     2 tokens (   28.40 ms per token,    35.21 tokens per second)
0.37.291.235 I slot print_timing: id  0 | task 52 |       total time =     492.34 ms /   336 tokens
