0.00.000.794 I srv  llama_server: initializing ...
0.00.015.881 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.016.895 W srv  llama_server: security: no API key is set and CORS allows all origins (see https://github.com/ggml-org/llama.cpp/pull/25655)
0.00.020.232 I srv    load_model: loading model '/opt/hf-cache/hub/models--ggml-org--Qwen2.5-VL-3B-Instruct-GGUF/snapshots/5037fcf163dd95d1e41d1974465f0898ed108ca2/Qwen2.5-VL-3B-Instruct-Q8_0.gguf'
0.01.121.079 W load: control-looking token: 128247 '</s>' was not control-type; this is probably a bug in the model. its type will be overridden
0.03.682.257 I cmn          init: llama threadpool init, n_threads = 12
0.03.763.259 W load_hparams: Qwen-VL models require at minimum 1024 image tokens to function correctly on grounding tasks
0.03.763.267 W load_hparams: if you encounter problems with accuracy, try adding --image-min-tokens 1024
0.03.763.268 W load_hparams: more info: https://github.com/ggml-org/llama.cpp/issues/16842

0.04.989.773 I srv    load_model: loaded multimodal model, '/opt/hf-cache/hub/models--ggml-org--Qwen2.5-VL-3B-Instruct-GGUF/snapshots/5037fcf163dd95d1e41d1974465f0898ed108ca2/mmproj-Qwen2.5-VL-3B-Instruct-f16.gguf'
0.05.023.472 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 4096, kv_unified = 'false'
0.05.023.617 W srv          init: --cache-idle-slots requires --cache-ram, disabling
0.05.029.282 I srv  llama_server: model loaded
0.05.029.294 I srv  llama_server: listening on http://127.0.0.1:8090
0.29.090.481 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
0.29.090.604 I slot launch_slot_: id  0 | task 0 | processing task, is_child = 0
0.29.645.895 I slot print_timing: id  0 | task 0 | prompt eval time =     520.91 ms /   319 tokens (    1.63 ms per token,   612.39 tokens per second)
0.29.645.902 I slot print_timing: id  0 | task 0 |        eval time =      34.31 ms /     2 tokens (   34.31 ms per token,    29.14 tokens per second)
0.29.645.903 I slot print_timing: id  0 | task 0 |       total time =     555.22 ms /   321 tokens
0.29.645.910 I slot print_timing: id  0 | task 0 |    graphs reused =          1
0.29.645.978 I slot      release: id  0 | task 0 | stop processing: n_tokens = 320, truncated = 0
0.29.664.971 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.928 (> 0.100 thold), f_keep = 0.928
0.29.665.075 I slot launch_slot_: id  0 | task 4 | processing task, is_child = 0
0.30.138.550 I slot print_timing: id  0 | task 4 | prompt eval time =     444.78 ms /   320 tokens (    1.39 ms per token,   719.46 tokens per second)
0.30.138.557 I slot print_timing: id  0 | task 4 |        eval time =      28.65 ms /     2 tokens (   28.65 ms per token,    34.91 tokens per second)
0.30.138.558 I slot print_timing: id  0 | task 4 |       total time =     473.42 ms /   322 tokens
0.30.138.560 I slot print_timing: id  0 | task 4 |    graphs reused =          1
0.30.138.591 I slot      release: id  0 | task 4 | stop processing: n_tokens = 321, truncated = 0
0.30.161.891 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 977073765271
0.30.161.988 I slot launch_slot_: id  0 | task 8 | processing task, is_child = 0
0.30.645.210 I slot print_timing: id  0 | task 8 | prompt eval time =     454.76 ms /   328 tokens (    1.39 ms per token,   721.26 tokens per second)
0.30.645.217 I slot print_timing: id  0 | task 8 |        eval time =      28.41 ms /     2 tokens (   28.41 ms per token,    35.20 tokens per second)
0.30.645.217 I slot print_timing: id  0 | task 8 |       total time =     483.17 ms /   330 tokens
0.30.645.219 I slot print_timing: id  0 | task 8 |    graphs reused =          1
0.30.645.253 I slot      release: id  0 | task 8 | stop processing: n_tokens = 329, truncated = 0
0.30.668.556 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.945 (> 0.100 thold), f_keep = 0.942
0.30.668.660 I slot launch_slot_: id  0 | task 12 | processing task, is_child = 0
0.31.150.298 I slot print_timing: id  0 | task 12 | prompt eval time =     453.23 ms /   328 tokens (    1.38 ms per token,   723.69 tokens per second)
0.31.150.304 I slot print_timing: id  0 | task 12 |        eval time =      28.35 ms /     2 tokens (   28.35 ms per token,    35.27 tokens per second)
0.31.150.305 I slot print_timing: id  0 | task 12 |       total time =     481.58 ms /   330 tokens
0.31.150.307 I slot print_timing: id  0 | task 12 |    graphs reused =          1
0.31.150.337 I slot      release: id  0 | task 12 | stop processing: n_tokens = 329, truncated = 0
0.31.174.764 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 977074777017
0.31.174.866 I slot launch_slot_: id  0 | task 16 | processing task, is_child = 0
0.31.648.680 I slot print_timing: id  0 | task 16 | prompt eval time =     445.42 ms /   319 tokens (    1.40 ms per token,   716.18 tokens per second)
0.31.648.688 I slot print_timing: id  0 | task 16 |        eval time =      28.34 ms /     2 tokens (   28.34 ms per token,    35.28 tokens per second)
0.31.648.689 I slot print_timing: id  0 | task 16 |       total time =     473.76 ms /   321 tokens
0.31.648.691 I slot print_timing: id  0 | task 16 |    graphs reused =          1
0.31.648.726 I slot      release: id  0 | task 16 | stop processing: n_tokens = 320, truncated = 0
0.31.672.978 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.944 (> 0.100 thold), f_keep = 0.941
0.31.673.077 I slot launch_slot_: id  0 | task 20 | processing task, is_child = 0
0.32.146.419 I slot print_timing: id  0 | task 20 | prompt eval time =     444.94 ms /   319 tokens (    1.39 ms per token,   716.95 tokens per second)
0.32.146.426 I slot print_timing: id  0 | task 20 |        eval time =      28.35 ms /     2 tokens (   28.35 ms per token,    35.27 tokens per second)
0.32.146.427 I slot print_timing: id  0 | task 20 |       total time =     473.29 ms /   321 tokens
0.32.146.429 I slot print_timing: id  0 | task 20 |    graphs reused =          1
0.32.146.463 I slot      release: id  0 | task 20 | stop processing: n_tokens = 320, truncated = 0
0.32.164.292 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 977075773143
0.32.164.391 I slot launch_slot_: id  0 | task 24 | processing task, is_child = 0
0.32.636.113 I slot print_timing: id  0 | task 24 | prompt eval time =     443.30 ms /   322 tokens (    1.38 ms per token,   726.37 tokens per second)
0.32.636.119 I slot print_timing: id  0 | task 24 |        eval time =      28.38 ms /     2 tokens (   28.38 ms per token,    35.24 tokens per second)
0.32.636.120 I slot print_timing: id  0 | task 24 |       total time =     471.68 ms /   324 tokens
0.32.636.122 I slot print_timing: id  0 | task 24 |    graphs reused =          1
0.32.636.156 I slot      release: id  0 | task 24 | stop processing: n_tokens = 323, truncated = 0
0.32.654.089 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.944 (> 0.100 thold), f_keep = 0.938
0.32.654.177 I slot launch_slot_: id  0 | task 28 | processing task, is_child = 0
0.33.123.186 I slot print_timing: id  0 | task 28 | prompt eval time =     440.65 ms /   321 tokens (    1.37 ms per token,   728.47 tokens per second)
0.33.123.193 I slot print_timing: id  0 | task 28 |        eval time =      28.31 ms /     2 tokens (   28.31 ms per token,    35.32 tokens per second)
0.33.123.194 I slot print_timing: id  0 | task 28 |       total time =     468.96 ms /   323 tokens
0.33.123.196 I slot print_timing: id  0 | task 28 |    graphs reused =          1
0.33.123.227 I slot      release: id  0 | task 28 | stop processing: n_tokens = 322, truncated = 0
0.33.139.534 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 977076749907
0.33.139.627 I slot launch_slot_: id  0 | task 32 | processing task, is_child = 0
0.33.613.121 I slot print_timing: id  0 | task 32 | prompt eval time =     445.04 ms /   319 tokens (    1.40 ms per token,   716.79 tokens per second)
0.33.613.127 I slot print_timing: id  0 | task 32 |        eval time =      28.41 ms /     2 tokens (   28.41 ms per token,    35.20 tokens per second)
0.33.613.128 I slot print_timing: id  0 | task 32 |       total time =     473.45 ms /   321 tokens
0.33.613.130 I slot print_timing: id  0 | task 32 |    graphs reused =          1
0.33.613.163 I slot      release: id  0 | task 32 | stop processing: n_tokens = 320, truncated = 0
0.33.629.553 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.943 (> 0.100 thold), f_keep = 0.938
0.33.629.644 I slot launch_slot_: id  0 | task 36 | processing task, is_child = 0
0.34.102.360 I slot print_timing: id  0 | task 36 | prompt eval time =     444.35 ms /   318 tokens (    1.40 ms per token,   715.66 tokens per second)
0.34.102.366 I slot print_timing: id  0 | task 36 |        eval time =      28.32 ms /     2 tokens (   28.32 ms per token,    35.31 tokens per second)
0.34.102.367 I slot print_timing: id  0 | task 36 |       total time =     472.67 ms /   320 tokens
0.34.102.369 I slot print_timing: id  0 | task 36 |    graphs reused =          1
0.34.102.399 I slot      release: id  0 | task 36 | stop processing: n_tokens = 319, truncated = 0
0.34.127.890 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 977077729078
0.34.127.988 I slot launch_slot_: id  0 | task 40 | processing task, is_child = 0
0.34.588.994 I slot print_timing: id  0 | task 40 | prompt eval time =     432.57 ms /   301 tokens (    1.44 ms per token,   695.84 tokens per second)
0.34.589.001 I slot print_timing: id  0 | task 40 |        eval time =      28.38 ms /     2 tokens (   28.38 ms per token,    35.23 tokens per second)
0.34.589.002 I slot print_timing: id  0 | task 40 |       total time =     460.95 ms /   303 tokens
0.34.589.004 I slot print_timing: id  0 | task 40 |    graphs reused =          1
0.34.589.037 I slot      release: id  0 | task 40 | stop processing: n_tokens = 302, truncated = 0
0.34.613.094 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.927 (> 0.100 thold), f_keep = 0.921
0.34.613.192 I slot launch_slot_: id  0 | task 44 | processing task, is_child = 0
0.35.073.278 I slot print_timing: id  0 | task 44 | prompt eval time =     431.75 ms /   300 tokens (    1.44 ms per token,   694.85 tokens per second)
0.35.073.285 I slot print_timing: id  0 | task 44 |        eval time =      28.29 ms /     2 tokens (   28.29 ms per token,    35.35 tokens per second)
0.35.073.286 I slot print_timing: id  0 | task 44 |       total time =     460.04 ms /   302 tokens
0.35.073.287 I slot print_timing: id  0 | task 44 |    graphs reused =          1
0.35.073.319 I slot      release: id  0 | task 44 | stop processing: n_tokens = 301, truncated = 0
0.35.092.655 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 977078699998
0.35.092.750 I slot launch_slot_: id  0 | task 48 | processing task, is_child = 0
0.35.581.170 I slot print_timing: id  0 | task 48 | prompt eval time =     459.91 ms /   335 tokens (    1.37 ms per token,   728.40 tokens per second)
0.35.581.177 I slot print_timing: id  0 | task 48 |        eval time =      28.45 ms /     2 tokens (   28.45 ms per token,    35.14 tokens per second)
0.35.581.178 I slot print_timing: id  0 | task 48 |       total time =     488.37 ms /   337 tokens
0.35.581.180 I slot print_timing: id  0 | task 48 |    graphs reused =          1
0.35.581.211 I slot      release: id  0 | task 48 | stop processing: n_tokens = 336, truncated = 0
0.35.600.772 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.946 (> 0.100 thold), f_keep = 0.940
0.35.600.874 I slot launch_slot_: id  0 | task 52 | processing task, is_child = 0
0.36.088.060 I slot print_timing: id  0 | task 52 | prompt eval time =     458.79 ms /   334 tokens (    1.37 ms per token,   728.00 tokens per second)
0.36.088.066 I slot print_timing: id  0 | task 52 |        eval time =      28.35 ms /     2 tokens (   28.35 ms per token,    35.28 tokens per second)
0.36.088.067 I slot print_timing: id  0 | task 52 |       total time =     487.14 ms /   336 tokens
0.36.088.069 I slot print_timing: id  0 | task 52 |    graphs reused =          1
0.36.088.101 I slot      release: id  0 | task 52 | stop processing: n_tokens = 335, truncated = 0
0.36.128.142 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 977079714781
0.36.128.247 I slot launch_slot_: id  0 | task 56 | processing task, is_child = 0
0.36.844.219 I slot print_timing: id  0 | task 56 | prompt eval time =     687.44 ms /   484 tokens (    1.42 ms per token,   704.06 tokens per second)
0.36.844.227 I slot print_timing: id  0 | task 56 |        eval time =      28.47 ms /     2 tokens (   28.47 ms per token,    35.12 tokens per second)
0.36.844.228 I slot print_timing: id  0 | task 56 |       total time =     715.91 ms /   486 tokens
0.36.844.230 I slot print_timing: id  0 | task 56 |    graphs reused =          1
0.36.844.263 I slot      release: id  0 | task 56 | stop processing: n_tokens = 485, truncated = 0
0.36.885.896 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.955 (> 0.100 thold), f_keep = 0.953
0.36.886.006 I slot launch_slot_: id  0 | task 60 | processing task, is_child = 0
0.37.592.721 I slot print_timing: id  0 | task 60 | prompt eval time =     678.16 ms /   484 tokens (    1.40 ms per token,   713.69 tokens per second)
0.37.592.729 I slot print_timing: id  0 | task 60 |        eval time =      28.50 ms /     2 tokens (   28.50 ms per token,    35.09 tokens per second)
0.37.592.730 I slot print_timing: id  0 | task 60 |       total time =     706.66 ms /   486 tokens
0.37.592.731 I slot print_timing: id  0 | task 60 |    graphs reused =          1
0.37.592.765 I slot      release: id  0 | task 60 | stop processing: n_tokens = 485, truncated = 0
0.37.611.451 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 977081219445
0.37.611.563 I slot launch_slot_: id  0 | task 64 | processing task, is_child = 0
0.38.094.630 I slot print_timing: id  0 | task 64 | prompt eval time =     454.62 ms /   331 tokens (    1.37 ms per token,   728.08 tokens per second)
0.38.094.637 I slot print_timing: id  0 | task 64 |        eval time =      28.39 ms /     2 tokens (   28.39 ms per token,    35.22 tokens per second)
0.38.094.638 I slot print_timing: id  0 | task 64 |       total time =     483.01 ms /   333 tokens
0.38.094.640 I slot print_timing: id  0 | task 64 |    graphs reused =          1
0.38.094.671 I slot      release: id  0 | task 64 | stop processing: n_tokens = 332, truncated = 0
0.38.113.031 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.927 (> 0.100 thold), f_keep = 0.925
0.38.113.137 I slot launch_slot_: id  0 | task 68 | processing task, is_child = 0
0.38.595.232 I slot print_timing: id  0 | task 68 | prompt eval time =     453.59 ms /   331 tokens (    1.37 ms per token,   729.74 tokens per second)
0.38.595.239 I slot print_timing: id  0 | task 68 |        eval time =      28.45 ms /     2 tokens (   28.45 ms per token,    35.15 tokens per second)
0.38.595.240 I slot print_timing: id  0 | task 68 |       total time =     482.04 ms /   333 tokens
0.38.595.242 I slot print_timing: id  0 | task 68 |    graphs reused =          1
0.38.595.275 I slot      release: id  0 | task 68 | stop processing: n_tokens = 332, truncated = 0
0.38.616.527 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 977082221954
0.38.616.638 I slot launch_slot_: id  0 | task 72 | processing task, is_child = 0
