09-24-2026 01:02:37 RAM 7991/30697MB (lfb 206x4MB) SWAP 582/15348MB (cached 1MB) CPU [43%@2201,5%@2201,2%@2201,2%@2201,2%@2201,6%@2201,16%@2201,5%@2201,2%@2201,7%@2201,5%@2201,2%@2201] GR3D_FREQ 0% cpu@65.406C soc2@60.937C soc0@61.968C gpu@60.187C tj@65.406C soc1@62.343C VDD_GPU_SOC 5311mW/5311mW VDD_CPU_CV 2654mW/2654mW VIN_SYS_5V0 5124mW/5124mW
09-24-2026 01:02:38 RAM 7264/30697MB (lfb 212x4MB) SWAP 582/15348MB (cached 1MB) CPU [99%@2201,0%@2201,1%@2201,2%@2201,1%@2201,1%@2201,0%@2201,0%@2201,1%@2201,26%@2201,1%@2201,1%@2201] GR3D_FREQ 0% cpu@65.5C soc2@60.906C soc0@61.843C gpu@59.937C tj@65.5C soc1@62.218C VDD_GPU_SOC 5311mW/5311mW VDD_CPU_CV 3033mW/2844mW VIN_SYS_5V0 5224mW/5174mW
09-24-2026 01:02:39 RAM 12627/30697MB (lfb 212x4MB) SWAP 582/15348MB (cached 1MB) CPU [100%@2201,0%@2201,0%@2201,0%@2201,1%@2201,0%@2201,0%@2201,2%@2201,1%@2201,1%@2201,0%@2201,1%@2201] GR3D_FREQ 0% cpu@64.968C soc2@60.718C soc0@61.656C gpu@59.843C tj@64.968C soc1@62.125C VDD_GPU_SOC 5313mW/5312mW VDD_CPU_CV 2654mW/2780mW VIN_SYS_5V0 5425mW/5258mW
09-24-2026 01:02:40 RAM 13782/30697MB (lfb 212x4MB) SWAP 582/15348MB (cached 1MB) CPU [77%@2201,1%@2201,1%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,3%@2201,0%@2201,11%@2201,11%@2201] GR3D_FREQ 7% cpu@64.875C soc2@60.468C soc0@61.593C gpu@59.812C tj@64.875C soc1@62.125C VDD_GPU_SOC 5688mW/5406mW VDD_CPU_CV 3032mW/2843mW VIN_SYS_5V0 5425mW/5300mW
09-24-2026 01:02:41 RAM 13779/30697MB (lfb 212x4MB) SWAP 582/15348MB (cached 1MB) CPU [3%@2201,0%@2201,2%@2201,0%@2201,8%@2201,0%@2201,1%@2201,1%@2201,8%@2201,9%@2201,48%@2201,12%@2201] GR3D_FREQ 8% cpu@65.468C soc2@60.406C soc0@61.531C gpu@59.625C tj@65.468C soc1@62C VDD_GPU_SOC 5688mW/5462mW VDD_CPU_CV 3031mW/2881mW VIN_SYS_5V0 5526mW/5345mW
09-24-2026 01:02:42 RAM 13784/30697MB (lfb 120x4MB) SWAP 582/15348MB (cached 1MB) CPU [11%@2201,3%@2201,1%@2201,14%@2201,30%@2201,10%@2201,21%@2201,4%@2201,2%@2201,2%@2201,0%@2201,1%@2201] GR3D_FREQ 9% cpu@65.031C soc2@60.25C soc0@61.531C gpu@59.593C tj@65.031C soc1@61.718C VDD_GPU_SOC 6067mW/5563mW VDD_CPU_CV 3031mW/2906mW VIN_SYS_5V0 5626mW/5392mW
09-24-2026 01:02:43 RAM 13574/30697MB (lfb 1142x1MB) SWAP 582/15348MB (cached 1MB) CPU [53%@2201,2%@2201,0%@2201,0%@2201,0%@2201,2%@2201,1%@2201,10%@2201,21%@2201,6%@2201,7%@2201,0%@2201] GR3D_FREQ 6% cpu@64.875C soc2@60C soc0@61.156C gpu@59.531C tj@64.875C soc1@61.625C VDD_GPU_SOC 5685mW/5580mW VDD_CPU_CV 3031mW/2924mW VIN_SYS_5V0 5626mW/5425mW
09-24-2026 01:02:44 RAM 13070/30697MB (lfb 787x1MB) SWAP 582/15348MB (cached 1MB) CPU [5%@2201,0%@2201,0%@2201,1%@2201,21%@2201,0%@2201,1%@2201,0%@2201,10%@2201,13%@2201,46%@2201,32%@2201] GR3D_FREQ 0% cpu@64.343C soc2@59.968C soc0@61.031C gpu@59.343C tj@64.343C soc1@61.531C VDD_GPU_SOC 5688mW/5594mW VDD_CPU_CV 3031mW/2937mW VIN_SYS_5V0 5526mW/5438mW
09-24-2026 01:02:45 RAM 13637/30697MB (lfb 2x2MB) SWAP 582/15348MB (cached 1MB) CPU [1%@2201,1%@2201,0%@2201,0%@2201,12%@2201,3%@2201,0%@2201,3%@2201,20%@2201,20%@2201,18%@2201,39%@2201] GR3D_FREQ 8% cpu@64.281C soc2@59.843C soc0@61.062C gpu@59.437C tj@64.281C soc1@61.593C VDD_GPU_SOC 6443mW/5688mW VDD_CPU_CV 3031mW/2948mW VIN_SYS_5V0 5827mW/5481mW
09-24-2026 01:02:46 RAM 13656/30697MB (lfb 11x4MB) SWAP 582/15348MB (cached 1MB) CPU [9%@2201,1%@2201,1%@2201,0%@2201,1%@2201,1%@2201,3%@2201,25%@2201,10%@2201,1%@2201,8%@2201,1%@2201] GR3D_FREQ 0% cpu@64.156C soc2@59.906C soc0@61C gpu@58.968C tj@64.156C soc1@61.468C VDD_GPU_SOC 6449mW/5764mW VDD_CPU_CV 2274mW/2880mW VIN_SYS_5V0 5124mW/5445mW
09-24-2026 01:02:47 RAM 13834/30697MB (lfb 1x2MB) SWAP 582/15348MB (cached 1MB) CPU [10%@2201,7%@2201,7%@2201,8%@2201,11%@2201,8%@2201,15%@2201,6%@2201,14%@2201,43%@2201,12%@2201,23%@2201] GR3D_FREQ 0% cpu@64.562C soc2@59.718C soc0@61C gpu@58.937C tj@64.562C soc1@61.343C VDD_GPU_SOC 5308mW/5723mW VDD_CPU_CV 4169mW/2997mW VIN_SYS_5V0 5124mW/5416mW
09-24-2026 01:02:48 RAM 13903/30697MB (lfb 2x2MB) SWAP 582/15348MB (cached 1MB) CPU [7%@2201,7%@2201,7%@2201,7%@2201,6%@2201,6%@2201,6%@2201,7%@2201,7%@2201,99%@2201,7%@2201,8%@2201] GR3D_FREQ 0% cpu@64.343C soc2@59.5C soc0@60.593C gpu@58.625C tj@64.343C soc1@61.156C VDD_GPU_SOC 5311mW/5689mW VDD_CPU_CV 3032mW/3000mW VIN_SYS_5V0 5124mW/5392mW
09-24-2026 01:02:49 RAM 13941/30697MB (lfb 4x4MB) SWAP 582/15348MB (cached 1MB) CPU [0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,3%@2201,100%@2201,0%@2201,1%@2201] GR3D_FREQ 0% cpu@64.125C soc2@59.437C soc0@60.5C gpu@58.562C tj@64.125C soc1@61C VDD_GPU_SOC 5311mW/5659mW VDD_CPU_CV 3033mW/3003mW VIN_SYS_5V0 5124mW/5371mW
09-24-2026 01:02:50 RAM 13976/30697MB (lfb 3x4MB) SWAP 582/15348MB (cached 1MB) CPU [0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,1%@2201,0%@2201,1%@2201,98%@2201,0%@2201,1%@2201] GR3D_FREQ 0% cpu@63.718C soc2@59.312C soc0@60.5C gpu@58.375C tj@63.718C soc1@60.906C VDD_GPU_SOC 5311mW/5635mW VDD_CPU_CV 3033mW/3005mW VIN_SYS_5V0 5024mW/5346mW
09-24-2026 01:02:51 RAM 13697/30697MB (lfb 13x4MB) SWAP 582/15348MB (cached 1MB) CPU [1%@2201,0%@2201,1%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,2%@2201,97%@2201,0%@2201,0%@2201] GR3D_FREQ 0% cpu@63.656C soc2@59.281C soc0@60.312C gpu@58.343C tj@63.656C soc1@60.812C VDD_GPU_SOC 5311mW/5613mW VDD_CPU_CV 2654mW/2982mW VIN_SYS_5V0 5325mW/5345mW
09-24-2026 01:02:52 RAM 13888/30697MB (lfb 69x1MB) SWAP 582/15348MB (cached 1MB) CPU [15%@2201,13%@2201,99%@2201,14%@2201,14%@2201,13%@2201,13%@2201,13%@2201,13%@2201,13%@2201,13%@2201,12%@2201] GR3D_FREQ 0% cpu@63.687C soc2@59.25C soc0@60.343C gpu@58.312C tj@63.687C soc1@60.875C VDD_GPU_SOC 5311mW/5594mW VDD_CPU_CV 3412mW/3008mW VIN_SYS_5V0 5224mW/5337mW
09-24-2026 01:02:53 RAM 13925/30697MB (lfb 69x1MB) SWAP 582/15348MB (cached 1MB) CPU [0%@2201,0%@2201,100%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,2%@2201,1%@2201,1%@2201,0%@2201] GR3D_FREQ 0% cpu@63.406C soc2@59C soc0@60.281C gpu@58.125C tj@63.406C soc1@60.531C VDD_GPU_SOC 5311mW/5577mW VDD_CPU_CV 3033mW/3010mW VIN_SYS_5V0 5224mW/5331mW
09-24-2026 01:02:54 RAM 13968/30697MB (lfb 68x1MB) SWAP 582/15348MB (cached 1MB) CPU [0%@2201,0%@2201,97%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201] GR3D_FREQ 0% cpu@63.5C soc2@58.812C soc0@59.906C gpu@58.156C tj@63.5C soc1@60.5C VDD_GPU_SOC 5311mW/5563mW VDD_CPU_CV 3033mW/3011mW VIN_SYS_5V0 5224mW/5325mW
09-24-2026 01:02:55 RAM 13996/30697MB (lfb 70x1MB) SWAP 582/15348MB (cached 1MB) CPU [0%@2201,0%@2201,100%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,2%@2201,0%@2201,1%@2201,1%@2201] GR3D_FREQ 0% cpu@63.218C soc2@58.843C soc0@59.906C gpu@58.031C tj@63.218C soc1@60.375C VDD_GPU_SOC 5311mW/5549mW VDD_CPU_CV 3033mW/3012mW VIN_SYS_5V0 5124mW/5314mW
09-24-2026 01:02:56 RAM 14033/30697MB (lfb 2x4MB) SWAP 582/15348MB (cached 1MB) CPU [0%@2201,0%@2201,100%@2201,1%@2201,0%@2201,0%@2201,0%@2201,0%@2201,3%@2201,0%@2201,0%@2201,0%@2201] GR3D_FREQ 0% cpu@63.156C soc2@58.656C soc0@59.906C gpu@57.906C tj@63.156C soc1@60.375C VDD_GPU_SOC 5313mW/5538mW VDD_CPU_CV 3033mW/3013mW VIN_SYS_5V0 4923mW/5295mW
09-24-2026 01:02:57 RAM 14054/30697MB (lfb 9x4MB) SWAP 582/15348MB (cached 1MB) CPU [2%@2201,0%@2201,98%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,1%@2201,0%@2201,0%@2201,4%@2201] GR3D_FREQ 0% cpu@63.062C soc2@58.656C soc0@59.781C gpu@57.843C tj@63.062C soc1@60.343C VDD_GPU_SOC 5311mW/5527mW VDD_CPU_CV 3033mW/3014mW VIN_SYS_5V0 5124mW/5287mW
09-24-2026 01:02:58 RAM 14066/30697MB (lfb 9x4MB) SWAP 582/15348MB (cached 1MB) CPU [0%@2201,0%@2201,98%@2201,1%@2201,0%@2201,0%@2201,1%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201] GR3D_FREQ 0% cpu@62.968C soc2@58.625C soc0@59.718C gpu@57.843C tj@62.968C soc1@60.25C VDD_GPU_SOC 4933mW/5500mW VDD_CPU_CV 3033mW/3015mW VIN_SYS_5V0 5024mW/5275mW
09-24-2026 01:02:59 RAM 14087/30697MB (lfb 9x4MB) SWAP 582/15348MB (cached 1MB) CPU [7%@2201,7%@2201,100%@2201,7%@2201,6%@2201,7%@2201,6%@2201,6%@2201,7%@2201,6%@2201,6%@2201,6%@2201] GR3D_FREQ 0% cpu@62.968C soc2@58.406C soc0@59.531C gpu@57.75C tj@62.968C soc1@60C VDD_GPU_SOC 5311mW/5492mW VDD_CPU_CV 3033mW/3016mW VIN_SYS_5V0 5224mW/5272mW
09-24-2026 01:03:00 RAM 14115/30697MB (lfb 9x4MB) SWAP 582/15348MB (cached 1MB) CPU [0%@2201,0%@2201,99%@2201,0%@2201,0%@2201,1%@2201,0%@2201,1%@2201,1%@2201,1%@2201,0%@2201,0%@2201] GR3D_FREQ 0% cpu@62.718C soc2@58.406C soc0@59.375C gpu@57.562C tj@62.718C soc1@59.906C VDD_GPU_SOC 5311mW/5484mW VDD_CPU_CV 3033mW/3017mW VIN_SYS_5V0 5124mW/5266mW
