09-23-2026 17:24:00 RAM 6940/30697MB (lfb 224x4MB) SWAP 471/15348MB (cached 0MB) CPU [11%@2201,10%@2201,9%@2201,9%@2201,18%@2201,51%@2201,11%@2201,8%@2201,9%@2201,15%@2201,17%@2201,10%@2201] GR3D_FREQ 0% cpu@61.312C soc2@56.312C soc0@57.656C gpu@55.468C tj@61.562C soc1@58.25C VDD_GPU_SOC 5308mW/5308mW VDD_CPU_CV 3788mW/3788mW VIN_SYS_5V0 5124mW/5124mW
09-23-2026 17:24:01 RAM 7000/30697MB (lfb 224x4MB) SWAP 471/15348MB (cached 0MB) CPU [6%@2201,6%@2201,6%@2201,6%@2201,7%@2201,100%@2201,6%@2201,6%@2201,7%@2201,8%@2201,8%@2201,6%@2201] GR3D_FREQ 0% cpu@61.312C soc2@56.187C soc0@57.375C gpu@55.593C tj@61.312C soc1@57.843C VDD_GPU_SOC 5308mW/5308mW VDD_CPU_CV 3032mW/3410mW VIN_SYS_5V0 5124mW/5124mW
09-23-2026 17:24:02 RAM 7044/30697MB (lfb 224x4MB) SWAP 471/15348MB (cached 0MB) CPU [0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,48%@2201,0%@2201,1%@2201,51%@2201,1%@2201,1%@2201,0%@2201] GR3D_FREQ 0% cpu@60.781C soc2@56.125C soc0@57.375C gpu@55.625C tj@60.781C soc1@57.875C VDD_GPU_SOC 5308mW/5308mW VDD_CPU_CV 3032mW/3284mW VIN_SYS_5V0 5124mW/5124mW
09-23-2026 17:24:03 RAM 7073/30697MB (lfb 224x4MB) SWAP 471/15348MB (cached 0MB) CPU [0%@2201,0%@2201,0%@2201,0%@2201,1%@2201,0%@2201,0%@2201,0%@2201,98%@2201,0%@2201,0%@2201,2%@2201] GR3D_FREQ 0% cpu@60.468C soc2@56.093C soc0@57.312C gpu@55.5C tj@60.468C soc1@57.843C VDD_GPU_SOC 4931mW/5214mW VDD_CPU_CV 3032mW/3221mW VIN_SYS_5V0 4923mW/5074mW
09-23-2026 17:24:04 RAM 6783/30697MB (lfb 224x4MB) SWAP 471/15348MB (cached 0MB) CPU [7%@2201,6%@2201,6%@2201,8%@2201,6%@2201,7%@2201,7%@2201,6%@2201,91%@2201,7%@2201,8%@2201,18%@2201] GR3D_FREQ 0% cpu@60.875C soc2@56.125C soc0@57.312C gpu@55.562C tj@60.875C soc1@57.843C VDD_GPU_SOC 5308mW/5233mW VDD_CPU_CV 3411mW/3259mW VIN_SYS_5V0 5224mW/5104mW
09-23-2026 17:24:05 RAM 6998/30697MB (lfb 224x4MB) SWAP 471/15348MB (cached 0MB) CPU [7%@2201,6%@2201,7%@2201,7%@2201,7%@2201,7%@2201,6%@2201,7%@2201,9%@2201,8%@2201,7%@2201,100%@2201] GR3D_FREQ 0% cpu@60.5C soc2@56.062C soc0@57.312C gpu@55.562C tj@60.5C soc1@57.875C VDD_GPU_SOC 5308mW/5245mW VDD_CPU_CV 3032mW/3221mW VIN_SYS_5V0 5224mW/5124mW
09-23-2026 17:24:06 RAM 7029/30697MB (lfb 224x4MB) SWAP 471/15348MB (cached 0MB) CPU [0%@2201,0%@2201,0%@2201,1%@2201,0%@2201,0%@2201,0%@2201,0%@2201,1%@2201,1%@2201,0%@2201,100%@2201] GR3D_FREQ 0% cpu@60.562C soc2@55.906C soc0@57.343C gpu@55.625C tj@60.562C soc1@57.625C VDD_GPU_SOC 5311mW/5255mW VDD_CPU_CV 3032mW/3194mW VIN_SYS_5V0 5124mW/5124mW
09-23-2026 17:24:07 RAM 7078/30697MB (lfb 224x4MB) SWAP 471/15348MB (cached 0MB) CPU [0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,5%@2201,0%@2201,1%@2201,99%@2201] GR3D_FREQ 0% cpu@60.75C soc2@55.968C soc0@57.125C gpu@55.593C tj@60.75C soc1@57.625C VDD_GPU_SOC 5308mW/5261mW VDD_CPU_CV 3032mW/3174mW VIN_SYS_5V0 5124mW/5124mW
09-23-2026 17:24:08 RAM 7116/30697MB (lfb 224x4MB) SWAP 471/15348MB (cached 0MB) CPU [0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,1%@2201,1%@2201,0%@2201,100%@2201] GR3D_FREQ 0% cpu@60.468C soc2@55.906C soc0@57.062C gpu@55.468C tj@60.312C soc1@57.593C VDD_GPU_SOC 5311mW/5267mW VDD_CPU_CV 3032mW/3158mW VIN_SYS_5V0 5124mW/5124mW
09-23-2026 17:24:09 RAM 7145/30697MB (lfb 224x4MB) SWAP 471/15348MB (cached 0MB) CPU [0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,1%@2201,0%@2201,1%@2201,100%@2201] GR3D_FREQ 0% cpu@60.75C soc2@55.812C soc0@57.093C gpu@54.906C tj@60.75C soc1@57.531C VDD_GPU_SOC 4931mW/5233mW VDD_CPU_CV 3032mW/3146mW VIN_SYS_5V0 5024mW/5114mW
09-23-2026 17:24:10 RAM 7169/30697MB (lfb 224x4MB) SWAP 471/15348MB (cached 0MB) CPU [0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,1%@2201,1%@2201,2%@2201,0%@2201,100%@2201] GR3D_FREQ 0% cpu@60.25C soc2@55.781C soc0@57.156C gpu@54.906C tj@60.25C soc1@57.625C VDD_GPU_SOC 5308mW/5240mW VDD_CPU_CV 3032mW/3135mW VIN_SYS_5V0 5124mW/5115mW
