09-23-2026 17:40:46 RAM 6315/30697MB (lfb 251x4MB) SWAP 506/15348MB (cached 0MB) CPU [58%@2201,9%@2201,12%@2201,9%@2201,8%@2201,17%@2201,15%@2201,10%@2201,9%@2201,10%@2201,12%@2201,7%@2201] GR3D_FREQ 0% cpu@58.375C soc2@54.093C soc0@55.125C gpu@52.718C tj@58.375C soc1@55.468C VDD_GPU_SOC 4931mW/4931mW VDD_CPU_CV 3790mW/3790mW VIN_SYS_5V0 5024mW/5024mW
09-23-2026 17:40:47 RAM 6376/30697MB (lfb 251x4MB) SWAP 506/15348MB (cached 0MB) CPU [100%@2201,7%@2201,6%@2201,6%@2201,7%@2201,6%@2201,6%@2201,8%@2201,7%@2201,7%@2201,15%@2201,7%@2201] GR3D_FREQ 0% cpu@58.312C soc2@53.843C soc0@55.062C gpu@52.75C tj@58.312C soc1@55.343C VDD_GPU_SOC 4931mW/4931mW VDD_CPU_CV 3033mW/3412mW VIN_SYS_5V0 5124mW/5074mW
09-23-2026 17:40:48 RAM 6418/30697MB (lfb 251x4MB) SWAP 506/15348MB (cached 0MB) CPU [100%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,2%@2201,11%@2201,0%@2201] GR3D_FREQ 0% cpu@58.531C soc2@53.75C soc0@54.906C gpu@52.718C tj@58.531C soc1@55.218C VDD_GPU_SOC 4931mW/4931mW VDD_CPU_CV 3033mW/3285mW VIN_SYS_5V0 5124mW/5091mW
09-23-2026 17:40:49 RAM 6449/30697MB (lfb 251x4MB) SWAP 506/15348MB (cached 0MB) CPU [100%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,1%@2201,0%@2201,0%@2201,0%@2201,7%@2201,0%@2201] GR3D_FREQ 0% cpu@58.187C soc2@53.843C soc0@54.906C gpu@52.718C tj@58.187C soc1@55.25C VDD_GPU_SOC 4931mW/4931mW VDD_CPU_CV 3033mW/3222mW VIN_SYS_5V0 4923mW/5049mW
09-23-2026 17:40:50 RAM 6168/30697MB (lfb 251x4MB) SWAP 506/15348MB (cached 0MB) CPU [89%@2201,7%@2201,6%@2201,17%@2201,7%@2201,6%@2201,7%@2201,6%@2201,6%@2201,7%@2201,7%@2201,7%@2201] GR3D_FREQ 0% cpu@58.375C soc2@53.656C soc0@54.906C gpu@52.718C tj@58.375C soc1@55.218C VDD_GPU_SOC 5311mW/5007mW VDD_CPU_CV 3412mW/3260mW VIN_SYS_5V0 5224mW/5084mW
09-23-2026 17:40:51 RAM 6375/30697MB (lfb 252x4MB) SWAP 506/15348MB (cached 0MB) CPU [7%@2201,7%@2201,6%@2201,100%@2201,6%@2201,7%@2201,7%@2201,6%@2201,8%@2201,7%@2201,7%@2201,6%@2201] GR3D_FREQ 0% cpu@58.093C soc2@53.625C soc0@54.968C gpu@52.781C tj@58.093C soc1@55.312C VDD_GPU_SOC 5311mW/5058mW VDD_CPU_CV 3033mW/3222mW VIN_SYS_5V0 5124mW/5091mW
09-23-2026 17:40:52 RAM 6407/30697MB (lfb 252x4MB) SWAP 506/15348MB (cached 0MB) CPU [0%@2201,0%@2201,0%@2201,100%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,1%@2201,0%@2201,0%@2201] GR3D_FREQ 0% cpu@58.187C soc2@53.531C soc0@54.875C gpu@52.718C tj@58.187C soc1@55.406C VDD_GPU_SOC 4931mW/5040mW VDD_CPU_CV 3033mW/3195mW VIN_SYS_5V0 5124mW/5095mW
09-23-2026 17:40:53 RAM 6463/30697MB (lfb 252x4MB) SWAP 506/15348MB (cached 0MB) CPU [0%@2201,0%@2201,0%@2201,100%@2201,0%@2201,0%@2201,1%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201] GR3D_FREQ 0% cpu@58.062C soc2@53.468C soc0@54.781C gpu@52.687C tj@58.437C soc1@55C VDD_GPU_SOC 4931mW/5026mW VDD_CPU_CV 3033mW/3175mW VIN_SYS_5V0 5124mW/5099mW
09-23-2026 17:40:54 RAM 6496/30697MB (lfb 252x4MB) SWAP 506/15348MB (cached 0MB) CPU [0%@2201,0%@2201,0%@2201,100%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201] GR3D_FREQ 0% cpu@58.281C soc2@53.437C soc0@54.687C gpu@52.656C tj@58.281C soc1@55.062C VDD_GPU_SOC 4931mW/5015mW VDD_CPU_CV 3033mW/3159mW VIN_SYS_5V0 5124mW/5102mW
09-23-2026 17:40:55 RAM 6524/30697MB (lfb 252x4MB) SWAP 506/15348MB (cached 0MB) CPU [0%@2201,1%@2201,0%@2201,100%@2201,1%@2201,0%@2201,0%@2201,0%@2201,0%@2201,1%@2201,0%@2201,0%@2201] GR3D_FREQ 0% cpu@58.031C soc2@53.406C soc0@54.843C gpu@52.625C tj@58.031C soc1@55.156C VDD_GPU_SOC 4931mW/5007mW VDD_CPU_CV 3033mW/3147mW VIN_SYS_5V0 4923mW/5084mW
09-23-2026 17:40:56 RAM 6540/30697MB (lfb 253x4MB) SWAP 506/15348MB (cached 0MB) CPU [1%@2201,0%@2201,3%@2201,100%@2201,2%@2201,2%@2201,3%@2201,2%@2201,1%@2201,2%@2201,2%@2201,2%@2201] GR3D_FREQ 0% cpu@58.093C soc2@53.406C soc0@54.812C gpu@52.75C tj@58.093C soc1@55.156C VDD_GPU_SOC 4931mW/5000mW VDD_CPU_CV 3033mW/3136mW VIN_SYS_5V0 5124mW/5087mW
