09-23-2026 23:48:33 RAM 4019/30697MB (lfb 254x4MB) SWAP 504/15348MB (cached 0MB) CPU [12%@2201,10%@2201,18%@2201,18%@2201,25%@2201,11%@2201,8%@2201,11%@2201,9%@2201,10%@2201,11%@2201,43%@2201] GR3D_FREQ 0% cpu@62.156C soc2@57.312C soc0@58.375C gpu@56.531C tj@62.156C soc1@58.875C VDD_GPU_SOC 5311mW/5311mW VDD_CPU_CV 4169mW/4169mW VIN_SYS_5V0 5024mW/5024mW
09-23-2026 23:48:34 RAM 4109/30697MB (lfb 254x4MB) SWAP 504/15348MB (cached 0MB) CPU [7%@2201,7%@2201,7%@2201,6%@2201,6%@2201,6%@2201,6%@2201,7%@2201,8%@2201,7%@2201,7%@2201,100%@2201] GR3D_FREQ 0% cpu@61.625C soc2@57.031C soc0@58.312C gpu@56.406C tj@61.625C soc1@58.781C VDD_GPU_SOC 5311mW/5311mW VDD_CPU_CV 3033mW/3601mW VIN_SYS_5V0 5124mW/5074mW
09-23-2026 23:48:35 RAM 4150/30697MB (lfb 254x4MB) SWAP 504/15348MB (cached 0MB) CPU [0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,1%@2201,0%@2201,0%@2201,2%@2201,0%@2201,1%@2201,99%@2201] GR3D_FREQ 0% cpu@61.531C soc2@56.875C soc0@58.281C gpu@56.312C tj@61.531C soc1@58.625C VDD_GPU_SOC 5311mW/5311mW VDD_CPU_CV 3033mW/3412mW VIN_SYS_5V0 5124mW/5091mW
09-23-2026 23:48:36 RAM 4185/30697MB (lfb 254x4MB) SWAP 504/15348MB (cached 0MB) CPU [0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,1%@2201,1%@2201,100%@2201] GR3D_FREQ 0% cpu@61.343C soc2@56.843C soc0@58.187C gpu@56.125C tj@61.343C soc1@58.406C VDD_GPU_SOC 4933mW/5217mW VDD_CPU_CV 3033mW/3317mW VIN_SYS_5V0 4923mW/5049mW
09-23-2026 23:48:37 RAM 3880/30697MB (lfb 254x4MB) SWAP 504/15348MB (cached 0MB) CPU [0%@2201,5%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,96%@2201] GR3D_FREQ 0% cpu@61.75C soc2@56.687C soc0@57.906C gpu@56.062C tj@61.75C soc1@58.406C VDD_GPU_SOC 5313mW/5236mW VDD_CPU_CV 2654mW/3184mW VIN_SYS_5V0 5325mW/5104mW
09-23-2026 23:48:38 RAM 4103/30697MB (lfb 254x4MB) SWAP 504/15348MB (cached 0MB) CPU [14%@2201,100%@2201,14%@2201,13%@2201,14%@2201,13%@2201,14%@2201,13%@2201,14%@2201,14%@2201,14%@2201,13%@2201] GR3D_FREQ 0% cpu@61.5C soc2@56.843C soc0@57.875C gpu@55.968C tj@61.5C soc1@58.406C VDD_GPU_SOC 5311mW/5248mW VDD_CPU_CV 3412mW/3222mW VIN_SYS_5V0 5124mW/5107mW
09-23-2026 23:48:39 RAM 4138/30697MB (lfb 254x4MB) SWAP 504/15348MB (cached 0MB) CPU [1%@2201,100%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201] GR3D_FREQ 0% cpu@61.312C soc2@56.718C soc0@57.75C gpu@55.875C tj@61.312C soc1@58.343C VDD_GPU_SOC 5313mW/5258mW VDD_CPU_CV 3033mW/3195mW VIN_SYS_5V0 5224mW/5124mW
09-23-2026 23:48:40 RAM 4190/30697MB (lfb 254x4MB) SWAP 504/15348MB (cached 0MB) CPU [0%@2201,99%@2201,0%@2201,2%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,1%@2201,0%@2201,0%@2201] GR3D_FREQ 0% cpu@61.25C soc2@56.75C soc0@57.812C gpu@56.218C tj@61.25C soc1@58.343C VDD_GPU_SOC 5311mW/5264mW VDD_CPU_CV 3033mW/3175mW VIN_SYS_5V0 5124mW/5124mW
09-23-2026 23:48:41 RAM 4217/30697MB (lfb 254x4MB) SWAP 504/15348MB (cached 0MB) CPU [0%@2201,99%@2201,1%@2201,1%@2201,0%@2201,0%@2201,0%@2201,0%@2201,3%@2201,0%@2201,1%@2201,0%@2201] GR3D_FREQ 0% cpu@61.156C soc2@56.406C soc0@57.843C gpu@55.5C tj@61.156C soc1@58.25C VDD_GPU_SOC 5311mW/5269mW VDD_CPU_CV 3033mW/3159mW VIN_SYS_5V0 5124mW/5124mW
09-23-2026 23:48:42 RAM 4253/30697MB (lfb 254x4MB) SWAP 504/15348MB (cached 0MB) CPU [0%@2201,100%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201] GR3D_FREQ 0% cpu@61.312C soc2@56.406C soc0@57.5C gpu@55.375C tj@61.312C soc1@57.906C VDD_GPU_SOC 4933mW/5236mW VDD_CPU_CV 3033mW/3147mW VIN_SYS_5V0 4923mW/5104mW
09-23-2026 23:48:43 RAM 4276/30697MB (lfb 254x4MB) SWAP 504/15348MB (cached 0MB) CPU [0%@2201,100%@2201,1%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201] GR3D_FREQ 0% cpu@61.062C soc2@56.406C soc0@57.468C gpu@55.281C tj@61.062C soc1@57.906C VDD_GPU_SOC 5311mW/5243mW VDD_CPU_CV 3033mW/3136mW VIN_SYS_5V0 5124mW/5106mW
